case_id,two_complete_same_scale_waves,parent_state,p0,p1,p2,p3,p4,label_source
TW-006CC3B629BF5517,no,not_applicable,,,,,,first_pass_agreement
TW-0150D94BB81AB611,yes,range,,,,,,first_pass_agreement
TW-017DAF9C55814238,no,not_applicable,,,,,,first_pass_agreement
TW-01B34D432AAB4FDA,no,not_applicable,,,,,,first_pass_agreement
TW-01EF0C5DECE503F7,no,not_applicable,,,,,,first_pass_agreement
TW-031EF01E8B5B53D1,no,not_applicable,,,,,,first_pass_agreement
TW-0482518E0DC825DB,no,not_applicable,,,,,,first_pass_agreement
TW-04AEF92DB552198B,no,not_applicable,,,,,,first_pass_agreement
TW-05243A8EBB1B2388,no,not_applicable,,,,,,first_pass_agreement
TW-0931DE2E29AC7443,yes,range,,,,,,first_pass_agreement
TW-09FABCA563A84306,no,not_applicable,,,,,,first_pass_agreement
TW-0B717D90F198BCFC,no,not_applicable,,,,,,first_pass_agreement
TW-0C4AF5BC9D73A495,no,not_applicable,,,,,,first_pass_agreement
TW-0D59A3E07A322EA6,no,not_applicable,,,,,,first_pass_agreement
TW-0EAD498CC95DF0DE,no,not_applicable,,,,,,first_pass_agreement
TW-0FA2B2CEB5D90182,yes,range,26,42,56,70,78,first_pass_agreement
TW-0FAEFF88A9ACFF77,no,not_applicable,,,,,,first_pass_agreement
TW-109F71BEFEB204AF,no,not_applicable,,,,,,first_pass_agreement
TW-11032653577E2E6B,no,not_applicable,,,,,,first_pass_agreement
TW-1273BE0100661099,no,not_applicable,,,,,,first_pass_agreement
TW-12B9E495A44753DF,no,not_applicable,,,,,,first_pass_agreement
TW-1442FB0A27D52FB4,no,not_applicable,,,,,,first_pass_agreement
TW-15CDE9F7E8980988,no,not_applicable,,,,,,first_pass_agreement
TW-161141AD3CDCB1E1,no,not_applicable,,,,,,third_independent_adjudication
TW-195F27C01919244C,no,not_applicable,,,,,,first_pass_agreement
TW-1A06C51CF3653982,no,not_applicable,,,,,,first_pass_agreement
TW-1A5FEFF0850FD222,no,not_applicable,,,,,,first_pass_agreement
TW-1B23483FF6D113AF,no,not_applicable,,,,,,first_pass_agreement
TW-1C07948B0B2D8FB3,no,not_applicable,,,,,,first_pass_agreement
TW-1D4B71A668264915,yes,range,,,,,,first_pass_agreement
TW-1D79C45ADD87B88C,yes,downtrend,0,36,50,80,93,first_pass_agreement
TW-1DC28ED5A3516769,no,not_applicable,,,,,,first_pass_agreement
TW-1DFDF56BD0273FC0,no,not_applicable,,,,,,first_pass_agreement
TW-206CC4CE8FBFEE31,no,not_applicable,,,,,,first_pass_agreement
TW-207ED3780E8CEEDD,no,not_applicable,,,,,,first_pass_agreement
TW-221CAE25E1865826,yes,range,54,66,72,85,95,third_independent_adjudication
TW-22E19AD582A04399,yes,uptrend,6,23,38,61,72,first_pass_agreement
TW-248E0B37E4902172,no,not_applicable,,,,,,third_independent_adjudication
TW-252A8561203EF17A,no,not_applicable,,,,,,first_pass_agreement
TW-253EF47619523698,no,not_applicable,,,,,,first_pass_agreement
TW-2890C6387CE7B814,no,not_applicable,,,,,,first_pass_agreement
TW-2B9D2E9AB27084F3,no,not_applicable,,,,,,first_pass_agreement
TW-2CB34C5F7B7C0ED8,no,not_applicable,,,,,,third_independent_adjudication
TW-2D0E0CB8CCD7208F,no,not_applicable,,,,,,first_pass_agreement
TW-2FA35CF8F1C15E99,no,not_applicable,,,,,,first_pass_agreement
TW-30FFD5B2666054AA,no,not_applicable,,,,,,first_pass_agreement
TW-319BE4948E6264A5,no,not_applicable,,,,,,first_pass_agreement
TW-328DCBE4A017C31E,no,not_applicable,,,,,,first_pass_agreement
TW-339615DDDC926049,no,not_applicable,,,,,,first_pass_agreement
TW-33CB7016FFE3ADBA,no,not_applicable,,,,,,first_pass_agreement
TW-3600EE8C8A4B5E5A,no,not_applicable,,,,,,first_pass_agreement
TW-384437B69D2D9E38,no,not_applicable,,,,,,first_pass_agreement
TW-38A58691DBAEB0BD,no,not_applicable,,,,,,first_pass_agreement
TW-38C3576123AB2840,no,not_applicable,,,,,,first_pass_agreement
TW-390BE3782CC89D0F,no,not_applicable,,,,,,first_pass_agreement
TW-3996310EBF228564,no,not_applicable,,,,,,first_pass_agreement
TW-39BBAF5DFA377C3D,no,not_applicable,,,,,,first_pass_agreement
TW-3B47DE2540259424,no,not_applicable,,,,,,first_pass_agreement
TW-3BC042E0B41EC183,no,not_applicable,,,,,,first_pass_agreement
TW-3D7AA88827C19C1B,no,not_applicable,,,,,,first_pass_agreement
TW-3F8317B00ECCF984,no,not_applicable,,,,,,first_pass_agreement
TW-3FEA40D0042FE046,no,not_applicable,,,,,,first_pass_agreement
TW-41C434333FEA5A30,no,not_applicable,,,,,,first_pass_agreement
TW-4410E91AA0C78258,no,not_applicable,,,,,,first_pass_agreement
TW-44BDE93A8B76896C,no,not_applicable,,,,,,first_pass_agreement
TW-458F16F995186477,no,not_applicable,,,,,,first_pass_agreement
TW-48F0D6D388543ACB,yes,downtrend,17,38,56,68,95,first_pass_agreement
TW-4C343C7D58879703,no,not_applicable,,,,,,first_pass_agreement
TW-4C3AB282378B9CFA,no,not_applicable,,,,,,first_pass_agreement
TW-4D39AA8AE7BAC11F,no,not_applicable,,,,,,first_pass_agreement
TW-4D86DE068E9BCF9E,no,not_applicable,,,,,,first_pass_agreement
TW-4E5568DAB0FE9306,no,not_applicable,,,,,,first_pass_agreement
TW-4EECF945BC96976C,no,not_applicable,,,,,,first_pass_agreement
TW-4FB6DEAC8E96E9A5,yes,range,61,71,77,90,95,third_independent_adjudication
TW-52719E1EC95B8A38,no,not_applicable,,,,,,first_pass_agreement
TW-529FE81AD12765CA,no,not_applicable,,,,,,first_pass_agreement
TW-53B01211F2E4BBE0,no,not_applicable,,,,,,first_pass_agreement
TW-549916EC1FE50875,no,not_applicable,,,,,,first_pass_agreement
TW-55C2FC1013C796C6,no,not_applicable,,,,,,first_pass_agreement
TW-567BE0EC109D60C0,no,not_applicable,,,,,,first_pass_agreement
TW-5688E5F3063B63B4,no,not_applicable,,,,,,first_pass_agreement
TW-57164CC0253F6290,no,not_applicable,,,,,,first_pass_agreement
TW-59E9492D1BF30D84,no,not_applicable,,,,,,first_pass_agreement
TW-5BADE6B3991A2A33,no,not_applicable,,,,,,first_pass_agreement
TW-5F6DAC89FD392C7C,no,not_applicable,,,,,,third_independent_adjudication
TW-5FFD0D83C8A1BBA3,no,not_applicable,,,,,,first_pass_agreement
TW-60690671E0E9E8C5,no,not_applicable,,,,,,first_pass_agreement
TW-610F2598C45E26C9,no,not_applicable,,,,,,first_pass_agreement
TW-6138E3531D5F816D,no,not_applicable,,,,,,first_pass_agreement
TW-6176C151C432569F,yes,downtrend,0,24,37,53,66,first_pass_agreement
TW-624701842677A4A2,no,not_applicable,,,,,,first_pass_agreement
TW-62672A7F1CCAFCD8,no,not_applicable,,,,,,first_pass_agreement
TW-67D1D5962DFC5506,no,not_applicable,,,,,,first_pass_agreement
TW-684A91E7C90AA457,yes,uptrend,8,28,46,68,74,first_pass_agreement
TW-6A5420FA172ED4A1,no,not_applicable,,,,,,first_pass_agreement
TW-6B9E6887D826E7AC,no,not_applicable,,,,,,first_pass_agreement
TW-6CCB2E6FFDD2C147,no,not_applicable,,,,,,first_pass_agreement
TW-6CFB7BE50E5F6111,no,not_applicable,,,,,,first_pass_agreement
TW-6DD7F8849FE93873,no,not_applicable,,,,,,first_pass_agreement
TW-70E32A21532E800C,no,not_applicable,,,,,,first_pass_agreement
TW-72563F56D23FFE82,no,not_applicable,,,,,,first_pass_agreement
TW-725A62984FF951FF,no,not_applicable,,,,,,first_pass_agreement
TW-727C07BDFFAB5044,no,not_applicable,,,,,,third_independent_adjudication
TW-76A0FBAC027F0412,no,not_applicable,,,,,,first_pass_agreement
TW-79C0A37AB99548C5,no,not_applicable,,,,,,first_pass_agreement
TW-7A4337A497D8874F,no,not_applicable,,,,,,first_pass_agreement
TW-7B985F06E38A62B7,no,not_applicable,,,,,,first_pass_agreement
TW-7FE379ACB19E4A43,no,not_applicable,,,,,,first_pass_agreement
TW-809ADD067C637866,no,not_applicable,,,,,,first_pass_agreement
TW-818D519BE1F122DA,no,not_applicable,,,,,,third_independent_adjudication
TW-820BF5B1C09936A2,no,not_applicable,,,,,,first_pass_agreement
TW-82F0258B9EBDA82C,yes,range,38,49,59,73,93,third_independent_adjudication
TW-833AFD0AB0380C9E,no,not_applicable,,,,,,first_pass_agreement
TW-843DE927129EAF19,no,not_applicable,,,,,,first_pass_agreement
TW-849E7273E100BBE2,no,not_applicable,,,,,,first_pass_agreement
TW-84AA203893AB02BD,no,not_applicable,,,,,,first_pass_agreement
TW-8562495BE1A36833,no,not_applicable,,,,,,first_pass_agreement
TW-86CA9FB4EB4BADF3,no,not_applicable,,,,,,first_pass_agreement
TW-87D51CE5BCF419D4,no,not_applicable,,,,,,first_pass_agreement
TW-880F209A31A0671A,no,not_applicable,,,,,,first_pass_agreement
TW-88F09F72EC3D984F,no,not_applicable,,,,,,first_pass_agreement
TW-891E0AE9F571D68A,no,not_applicable,,,,,,first_pass_agreement
TW-894D2EBBEB68A1C2,no,not_applicable,,,,,,first_pass_agreement
TW-8BC360BBB629307F,no,not_applicable,,,,,,first_pass_agreement
TW-8C572474DDEB68AE,no,not_applicable,,,,,,first_pass_agreement
TW-8CEF1EC8886E98A3,no,not_applicable,,,,,,first_pass_agreement
TW-8D683741F595C5E0,no,not_applicable,,,,,,first_pass_agreement
TW-8F3733BDF7E447FC,no,not_applicable,,,,,,first_pass_agreement
TW-90F78A55B9397CBA,no,not_applicable,,,,,,first_pass_agreement
TW-92DC6C4A0C66484A,no,not_applicable,,,,,,first_pass_agreement
TW-9386F314436CE5CD,yes,range,35,52,65,80,87,first_pass_agreement
TW-93CE8136D9534A35,no,not_applicable,,,,,,first_pass_agreement
TW-950E085E3FD2AADA,no,not_applicable,,,,,,first_pass_agreement
TW-952613FD46FC52F4,no,not_applicable,,,,,,first_pass_agreement
TW-95A8FB3A59B956EC,no,not_applicable,,,,,,first_pass_agreement
TW-97C7C97EA05B2AB7,no,not_applicable,,,,,,first_pass_agreement
TW-983B147AFF000EC3,no,not_applicable,,,,,,first_pass_agreement
TW-9B302C06D492533A,no,not_applicable,,,,,,first_pass_agreement
TW-9BCE04BA1D95C931,no,not_applicable,,,,,,first_pass_agreement
TW-9C6D79BB407B6788,yes,uptrend,15,36,40,68,76,first_pass_agreement
TW-9CE9F78B21114F88,no,not_applicable,,,,,,first_pass_agreement
TW-9E3F9C602B342476,no,not_applicable,,,,,,first_pass_agreement
TW-9F9D3AA9AB0970BC,no,not_applicable,,,,,,first_pass_agreement
TW-A17A182A94093BA3,no,not_applicable,,,,,,first_pass_agreement
TW-A1B58F85FB009F22,no,not_applicable,,,,,,first_pass_agreement
TW-A28BD2139EEAE910,no,not_applicable,,,,,,first_pass_agreement
TW-A40EFEFACD955CF7,no,not_applicable,,,,,,first_pass_agreement
TW-A4F0ED54EDAEEAE1,no,not_applicable,,,,,,first_pass_agreement
TW-A50F2DB7EEC2737A,no,not_applicable,,,,,,first_pass_agreement
TW-A581E86566087DA0,no,not_applicable,,,,,,first_pass_agreement
TW-A5969121FE9F6B91,no,not_applicable,,,,,,first_pass_agreement
TW-A5E959AC1B6E4251,no,not_applicable,,,,,,first_pass_agreement
TW-A65600506C098852,no,not_applicable,,,,,,first_pass_agreement
TW-A7359EF0F4B99EFC,no,not_applicable,,,,,,first_pass_agreement
TW-A7BF46930AE83D87,no,not_applicable,,,,,,first_pass_agreement
TW-AAF426D4916EE393,no,not_applicable,,,,,,first_pass_agreement
TW-ABB50CE30039F7C7,no,not_applicable,,,,,,first_pass_agreement
TW-ACB649172A6B1846,no,not_applicable,,,,,,first_pass_agreement
TW-AD7795886DD7DE18,yes,range,32,40,54,74,85,first_pass_agreement
TW-AEC3D5CE153F246F,no,not_applicable,,,,,,first_pass_agreement
TW-AF1850B220767FC4,no,not_applicable,,,,,,first_pass_agreement
TW-B0566C306C953381,no,not_applicable,,,,,,first_pass_agreement
TW-B1B9F86A0EA6A96B,no,not_applicable,,,,,,first_pass_agreement
TW-B2B50D2070BBD51F,no,not_applicable,,,,,,first_pass_agreement
TW-B2F4E810AEE61C5B,no,not_applicable,,,,,,first_pass_agreement
TW-B34F8673C1062187,yes,range,0,19,32,68,76,first_pass_agreement
TW-B35D69A3F5C5B2BB,no,not_applicable,,,,,,first_pass_agreement
