case_id,annotator_id,two_complete_same_scale_waves,parent_state,p0,p1,p2,p3,p4,confidence,notes
TW-006CC3B629BF5517,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-0150D94BB81AB611,LOCAL_MODEL_A,yes,range,60,70,75,87,95,medium,post-drop two range swings
TW-017DAF9C55814238,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-01B34D432AAB4FDA,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-01EF0C5DECE503F7,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-031EF01E8B5B53D1,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-0482518E0DC825DB,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-04AEF92DB552198B,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-05243A8EBB1B2388,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-0931DE2E29AC7443,LOCAL_MODEL_A,yes,range,59,67,75,82,93,medium,right-side two range swings after gap
TW-09FABCA563A84306,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-0B717D90F198BCFC,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-0C4AF5BC9D73A495,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-0D59A3E07A322EA6,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-0EAD498CC95DF0DE,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-0FA2B2CEB5D90182,LOCAL_MODEL_A,yes,range,26,42,56,70,78,medium,two range oscillations after jump
TW-0FAEFF88A9ACFF77,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-109F71BEFEB204AF,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-11032653577E2E6B,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-1273BE0100661099,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-12B9E495A44753DF,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-1442FB0A27D52FB4,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-15CDE9F7E8980988,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-161141AD3CDCB1E1,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-195F27C01919244C,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-1A06C51CF3653982,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-1A5FEFF0850FD222,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-1B23483FF6D113AF,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-1C07948B0B2D8FB3,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-1D4B71A668264915,LOCAL_MODEL_A,yes,range,36,48,55,74,84,medium,W-shaped double trough then peak
TW-1D79C45ADD87B88C,LOCAL_MODEL_A,yes,downtrend,0,36,50,80,93,medium,two completed down-steps
TW-1DC28ED5A3516769,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-1DFDF56BD0273FC0,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-206CC4CE8FBFEE31,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-207ED3780E8CEEDD,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-221CAE25E1865826,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-22E19AD582A04399,LOCAL_MODEL_A,yes,uptrend,6,23,38,61,72,high,two completed up-swings
TW-248E0B37E4902172,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
